Tokens reconocidos:
Línea 1: USING -> using
Línea 1: ID -> System
Línea 1: SEMICOLON -> ;
Línea 3: CLASS -> class
Línea 3: ID -> ThomasPrueba
Línea 4: LBRACE -> {
Línea 5: PUBLIC -> public
Línea 5: VOID -> void
Línea 5: ID -> LogicaYIncremento
Línea 5: LPAREN -> (
Línea 5: RPAREN -> )
Línea 6: LBRACE -> {
Línea 7: INT -> int
Línea 7: ID -> x
Línea 7: EQUALS -> =
Línea 7: NUMBER -> 10
Línea 7: SEMICOLON -> ;
Línea 8: INT -> int
Línea 8: ID -> y
Línea 8: EQUALS -> =
Línea 8: NUMBER -> 5
Línea 8: SEMICOLON -> ;
Línea 9: BOOL -> bool
Línea 9: ID -> a
Línea 9: EQUALS -> =
Línea 9: TRUE -> true
Línea 9: SEMICOLON -> ;
Línea 10: BOOL -> bool
Línea 10: ID -> b
Línea 10: EQUALS -> =
Línea 10: FALSE -> false
Línea 10: SEMICOLON -> ;
Línea 11: STRINGTYPE -> string
Línea 11: ID -> s
Línea 11: EQUALS -> =
Línea 11: STRING -> texto
Línea 11: SEMICOLON -> ;
Línea 12: CHAR -> char
Línea 12: ID -> c
Línea 12: EQUALS -> =
Línea 12: CHAR -> z
Línea 12: SEMICOLON -> ;
Línea 13: VAR -> var
Línea 13: ID -> lista
Línea 13: EQUALS -> =
Línea 13: NEW -> new
Línea 13: LIST -> List
Línea 13: LT -> <
Línea 13: INT -> int
Línea 13: GT -> >
Línea 13: LPAREN -> (
Línea 13: RPAREN -> )
Línea 13: SEMICOLON -> ;
Línea 14: DOUBLE -> double
Línea 14: ID -> d
Línea 14: EQUALS -> =
Línea 14: NUMBER -> 3.14
Línea 14: SEMICOLON -> ;
Línea 15: FLOAT -> float
Línea 15: ID -> f
Línea 15: EQUALS -> =
Línea 15: NUMBER -> 2.5
Línea 15: SEMICOLON -> ;
Línea 18: BOOL -> bool
Línea 18: ID -> resultado1
Línea 18: EQUALS -> =
Línea 18: ID -> a
Línea 18: AND -> &&
Línea 18: ID -> b
Línea 18: SEMICOLON -> ;
Línea 19: BOOL -> bool
Línea 19: ID -> resultado2
Línea 19: EQUALS -> =
Línea 19: ID -> a
Línea 19: OR -> ||
Línea 19: ID -> b
Línea 19: SEMICOLON -> ;
