Tokens reconocidos:
Línea 4: FLOAT -> float
Línea 4: ID -> f
Línea 4: ASSIGN -> =
Línea 4: FLOAT_CONST -> 2.5
Línea 4: SEMICOLON -> ;
Línea 5: LIST -> List
Línea 5: LT -> <
Línea 5: DOUBLE -> double
Línea 5: GT -> >
Línea 5: ID -> listaDoubles
Línea 5: ASSIGN -> =
Línea 5: NEW -> new
Línea 5: LIST -> List
Línea 5: LT -> <
Línea 5: DOUBLE -> double
Línea 5: GT -> >
Línea 5: LBRACE -> {
Línea 5: FLOAT_CONST -> 1.1
Línea 5: COMMA -> ,
Línea 5: FLOAT_CONST -> 2.2
Línea 5: RBRACE -> }
Línea 5: SEMICOLON -> ;
Línea 7: VAR -> var
Línea 7: ID -> autoVar
Línea 7: SEMICOLON -> ;
Línea 8: ID -> autoVar
Línea 8: ASSIGN -> =
Línea 8: STRING_CONST -> auto
Línea 8: SEMICOLON -> ;
Línea 11: VAR -> var
Línea 11: ID -> sinAsignar
Línea 11: SEMICOLON -> ;
Línea 12: CONSOLE -> Console
Línea 12: DOT -> .
Línea 12: WRITELINE -> WriteLine
Línea 12: LPAREN -> (
Línea 12: ID -> sinAsignar
Línea 12: RPAREN -> )
Línea 12: SEMICOLON -> ;
Línea 15: LIST -> List
Línea 15: LT -> <
Línea 15: LIST -> List
Línea 15: LT -> <
Línea 15: STRING -> string
Línea 15: GT -> >
Línea 15: GT -> >
Línea 15: ID -> listaDeListas
Línea 15: SEMICOLON -> ;
Línea 18: INT -> int
Línea 18: ID -> Sumar
Línea 18: LPAREN -> (
Línea 18: INT -> int
Línea 18: ID -> a
Línea 18: COMMA -> ,
Línea 18: INT -> int
Línea 18: ID -> b
Línea 18: RPAREN -> )
Línea 18: LBRACE -> {
Línea 19: RETURN -> return
Línea 19: ID -> a
Línea 19: PLUS -> +
Línea 19: ID -> b
Línea 19: SEMICOLON -> ;
Línea 20: RBRACE -> }
Línea 21: BOOL -> bool
Línea 21: ID -> Falso
Línea 21: LPAREN -> (
Línea 21: RPAREN -> )
Línea 21: LBRACE -> {
Línea 22: RETURN -> return
Línea 22: INT_CONST -> 0
Línea 22: SEMICOLON -> ;
Línea 23: RBRACE -> }
Línea 26: CLASS -> class
Línea 26: ID -> Persona
Línea 26: LBRACE -> {
Línea 27: STRING -> string
Línea 27: ID -> nombre
Línea 27: SEMICOLON -> ;
Línea 28: INT -> int
Línea 28: ID -> edad
Línea 28: SEMICOLON -> ;
Línea 29: PUBLIC -> public
Línea 29: ID -> Persona
Línea 29: LPAREN -> (
Línea 29: STRING -> string
Línea 29: ID -> n
Línea 29: COMMA -> ,
Línea 29: INT -> int
Línea 29: ID -> e
Línea 29: RPAREN -> )
Línea 29: LBRACE -> {
Línea 30: ID -> nombre
Línea 30: ASSIGN -> =
Línea 30: ID -> n
Línea 30: SEMICOLON -> ;
Línea 31: ID -> edad
Línea 31: ASSIGN -> =
Línea 31: ID -> e
Línea 31: SEMICOLON -> ;
Línea 32: RBRACE -> }
Línea 33: PUBLIC -> public
Línea 33: VOID -> void
Línea 33: ID -> Saludar
Línea 33: LPAREN -> (
Línea 33: RPAREN -> )
Línea 33: LBRACE -> {
Línea 34: CONSOLE -> Console
Línea 34: DOT -> .
Línea 34: WRITELINE -> WriteLine
Línea 34: LPAREN -> (
Línea 34: STRING_CONST -> Hola, soy 
Línea 34: PLUS -> +
Línea 34: ID -> nombre
Línea 34: RPAREN -> )
Línea 34: SEMICOLON -> ;
Línea 35: RBRACE -> }
Línea 36: RBRACE -> }
Línea 38: ID -> Persona
Línea 38: ID -> p
Línea 38: ASSIGN -> =
Línea 38: NEW -> new
Línea 38: ID -> Persona
Línea 38: LPAREN -> (
Línea 38: STRING_CONST -> Ana
Línea 38: COMMA -> ,
Línea 38: INT_CONST -> 30
Línea 38: RPAREN -> )
Línea 38: SEMICOLON -> ;
Línea 39: ID -> p
Línea 39: DOT -> .
Línea 39: ID -> Saludar
Línea 39: LPAREN -> (
Línea 39: RPAREN -> )
Línea 39: SEMICOLON -> ;
Línea 42: IF -> if
Línea 42: LPAREN -> (
Línea 42: ID -> f
Línea 42: LT -> <
Línea 42: FLOAT_CONST -> 3.0
Línea 42: RPAREN -> )
Línea 42: LBRACE -> {
Línea 43: CONSOLE -> Console
Línea 43: DOT -> .
Línea 43: WRITELINE -> WriteLine
Línea 43: LPAREN -> (
Línea 43: STRING_CONST -> f es menor que 3
Línea 43: RPAREN -> )
Línea 43: SEMICOLON -> ;
Línea 44: RBRACE -> }
Línea 44: ELSE -> else
Línea 44: LBRACE -> {
Línea 45: CONSOLE -> Console
Línea 45: DOT -> .
Línea 45: WRITELINE -> WriteLine
Línea 45: LPAREN -> (
Línea 45: STRING_CONST -> f es mayor o igual que 3
Línea 45: RPAREN -> )
Línea 45: SEMICOLON -> ;
Línea 46: RBRACE -> }
Línea 49: FOR -> for
Línea 49: LPAREN -> (
Línea 49: INT -> int
Línea 49: ID -> i
Línea 49: ASSIGN -> =
Línea 49: INT_CONST -> 0
Línea 49: SEMICOLON -> ;
Línea 49: ID -> i
Línea 49: LT -> <
Línea 49: INT_CONST -> 5
Línea 49: SEMICOLON -> ;
Línea 49: ID -> i
Línea 49: ASSIGN -> =
Línea 49: ID -> i
Línea 49: PLUS -> +
Línea 49: INT_CONST -> 1
Línea 49: RPAREN -> )
Línea 49: LBRACE -> {
Línea 50: CONSOLE -> Console
Línea 50: DOT -> .
Línea 50: WRITELINE -> WriteLine
Línea 50: LPAREN -> (
Línea 50: ID -> i
Línea 50: RPAREN -> )
Línea 50: SEMICOLON -> ;
Línea 51: RBRACE -> }
Línea 53: INT -> int
Línea 53: ID -> j
Línea 53: ASSIGN -> =
Línea 53: INT_CONST -> 0
Línea 53: SEMICOLON -> ;
Línea 54: CONSOLE -> Console
Línea 54: DOT -> .
Línea 54: WRITELINE -> WriteLine
Línea 54: LPAREN -> (
Línea 54: ID -> j
Línea 54: RPAREN -> )
Línea 54: SEMICOLON -> ;
Línea 55: ID -> j
Línea 55: ASSIGN -> =
Línea 55: ID -> j
Línea 55: PLUS -> +
Línea 55: INT_CONST -> 1
Línea 55: SEMICOLON -> ;
